County,State,Rank,Population,latitude,longitude,distance_100000,distance_300000,distance_500000,distance_1000000
Autauga County,AL,907,55514.0,32.52496067,-86.62950533,55.4683940876,120.387227893,120.387227893,656.51491198
Baldwin County,AL,332,190790.0,30.60740186,-87.71802723,0.0,36.6205096528,340.6088321,601.27498755
Barbour County,AL,1523,27201.0,31.813697,-85.481079,74.9244435081,216.820214635,234.120887115,526.28945263
Bibb County,AL,1707,22597.0,33.03272838,-87.08073063,45.8625088536,65.1993859826,65.1993859826,681.752585401
Blount County,AL,882,57826.0,33.95194386,-86.582932,40.7177870472,47.7273896293,47.7273896293,612.043635395
Bullock County,AL,2397,10474.0,32.1174995,-85.7235275,44.9220630289,195.36904733,195.36904733,565.919878283
Butler County,AL,1825,20307.0,31.6921958,-86.7032796,73.3516708848,126.334247617,211.246187406,593.802804796
Calhoun County,AL,518,117296.0,33.7732412,-85.8452838,0.0,96.7080815955,96.7080815955,665.720783238
Chambers County,AL,1327,34064.0,32.8801192,-85.3072474,31.5319882306,122.95192014,122.95192014,601.341383763
Cherokee County,AL,1562,26021.0,34.1930998,-85.6118958,51.3224083576,97.0141651094,97.0141651094,641.167459173
Chilton County,AL,1090,43819.0,32.84193383,-86.751174,46.9918413458,83.8807249324,83.8807249324,690.907428906
Choctaw County,AL,2206,13633.0,32.06983425,-88.21425163,143.846762447,154.290546909,210.825709222,715.658566161
Clarke County,AL,1601,25161.0,31.70306033,-87.85249967,117.951756974,117.951756974,229.044265254,677.805931513
Clay County,AL,2217,13435.0,33.24731133,-85.862191,58.3539094192,100.845205368,100.845205368,665.69673876
Cleburne County,AL,2122,14832.0,33.6815862,-85.4502488,35.8122327171,81.6369875895,81.6369875895,695.293754461
Coffee County,AL,965,51252.0,31.3851404,-86.009877,76.1584426511,148.950983824,257.612591247,523.175263321
Colbert County,AL,918,54446.0,34.7053682,-87.7199112,82.8027299149,107.893101057,146.485782299,488.490566219
Conecuh County,AL,2241,12981.0,31.4245755,-87.098293,83.5126870168,84.0951362222,241.364235391,602.343499313
Coosa County,AL,2362,10966.0,32.9465996,-86.1511956,59.6284960239,97.7451660784,97.7451660784,659.000923405
Covington County,AL,1225,37955.0,31.173474,-86.4292676,61.8941056227,102.629671057,271.333277379,535.70964667
Crenshaw County,AL,2169,14083.0,31.71421375,-86.318535,54.07099395,149.569664338,214.48302087,569.817356731
Cullman County,AL,686,80440.0,34.1240178,-86.8532274,39.3126798825,59.0095484431,59.0095484431,582.941348376
Dale County,AL,972,50444.0,31.38703911,-85.61845133,42.6073059304,182.149269203,271.162792248,498.434713985
Dallas County,AL,1115,42864.0,32.3308275,-87.124658,89.2529356365,141.964701937,141.964701937,671.894368924
DeKalb County,AL,752,71080.0,34.46109285,-85.82489254,55.7419552517,74.5315643139,126.825983161,605.711025848
Elmore County,AL,685,80629.0,32.60650078,-86.18647956,46.2155364991,126.356467566,126.356467566,634.790787984
Escambia County,AL,1223,37994.0,31.131386,-87.3069015,48.2485341747,48.2485341747,276.021853729,598.537230409
Etowah County,AL,564,104392.0,34.03996917,-86.15507,0.0,82.4225737052,82.4225737052,625.113894772
Fayette County,AL,1984,16983.0,33.7203974,-87.776232,58.6936925033,85.6674296652,85.6674296652,586.630214882
Franklin County,AL,1393,31761.0,34.41525983,-87.91635033,97.322127155,131.952526015,133.270142159,510.298681628
